,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
18,Bruno Mars - Just The Way You Are [OFFICIAL VIDEO].mp3,107.6660156,138103,1278.731481,0.421523952,0.316034998,0.09987812,0.595231971,0.249184551,0.062092941,0.273129802,0.093452902,0.008733445,2.856114176,30.31577625,919.0462897,-3.862915031,55.44019092,3073.61477,0.011547302,2.667314559,7.114566958,0.086722143,0.073308632,0.005374156,2508.627781,1151.026418,1324861.815,2407.877482,515.2451996,265477.6157,21.52704626,12.04600713,145.1062878,5083.394261,2040.141264,4162176.377,1.003203035,1.596357085,2.548355941,-0.003908737,0.059979833,0.00359758,0.129098993,0.10254847,0.010516189,-4.92E-05,0.05392069,0.002907441,0.000118125,0.084136307,0.007078918,3.349478458,1.306086329,1.705861498
19,Calvin Harris & Disciples - How Deep Is Your Love.mp3,123.046875,156866,1275.333333,0.455546948,0.30489225,0.092959284,0.556664928,0.267987175,0.071817126,0.263682372,0.117494425,0.01380494,2.08401458,49.53148421,2453.367928,-5.128682849,54.67456224,2989.307757,0.009190879,3.240858995,10.50316703,0.07064832,0.073416658,0.005390006,2575.248954,1142.315556,1304884.83,2628.16592,554.2481342,307190.9943,17.83125067,6.727029739,45.25292911,5508.050027,2243.957468,5035345.118,0.842125344,1.508338206,2.275084144,0.020690121,0.063701115,0.004057832,0.113069611,0.088987858,0.007918839,-0.000108095,0.074834108,0.005600143,0.000274416,0.050138824,0.002513902,13.5685805,5.103206572,26.04271732
20,"Calvin Harris - Feels (Official Video) ft. Pharrell Williams, Katy Perry, Big Sean.mp3",99.38401442,122667,1251.704082,0.391806841,0.307960695,0.09483979,0.448776547,0.292035666,0.08528483,0.245976404,0.151092494,0.022828942,12.91292688,92.10574081,8483.467489,2.483172008,41.10536635,1689.651143,0.008087761,4.279446475,18.31366213,0.215784594,0.114480749,0.013105842,2396.249925,1157.778197,1340450.352,2448.481317,835.7953995,698553.9498,20.23023074,7.021593753,49.30277883,5274.272274,2463.051084,6066620.64,2.538456026,3.487495685,12.16262615,0.012955331,0.082808333,0.00685722,0.114612119,0.084939436,0.007214708,-2.44E-05,0.145611063,0.021202581,0.000893133,0.15876703,0.02520697,13.12740136,3.804781233,14.47636023
21,Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding.mp3,123.046875,159070,1272.56,0.318125823,0.30522403,0.093161708,0.479526224,0.284439331,0.080905733,0.262816147,0.119419455,0.014261006,1.085190031,7.31255049,53.47339467,-6.239053422,44.96812636,2022.132388,0.012885166,2.277932505,5.188976496,0.064381696,0.029280255,0.000857333,2690.288171,717.7848283,515215.0597,2693.603109,434.1885528,188519.6994,19.92365151,6.414372885,41.1441795,5822.239794,1680.954554,2825608.211,0.807917161,1.000987607,1.00197619,0.016537024,0.07483393,0.005600117,0.113442247,0.057863536,0.003348189,0.000114566,0.052266344,0.002731771,0.00041192,0.03007252,0.000904356,5.328979592,3.047193319,9.285387122
22,Calvin Harris - Summer (Official Video).mp3,129.1992188,163518,1277.484375,0.372794602,0.296008805,0.087621213,0.498444539,0.267894044,0.071767219,0.258380933,0.128734715,0.016572627,8.471097098,41.80251348,1747.450133,0.109648695,40.5162411,1641.565793,0.011857667,2.384930707,5.687894478,0.181820005,0.077882797,0.00606573,1999.681849,906.5919681,821908.9966,2253.524413,414.2066609,171567.1579,20.51470329,7.145014634,51.05123412,4114.854285,1752.350874,3070733.585,2.393723162,3.070047752,9.425193201,0.012221304,0.076877537,0.005910156,0.093402496,0.07373861,0.005437383,0.000701947,0.144530386,0.020889034,0.001194081,0.087996826,0.007743441,17.22804535,4.652524984,21.64598873
23,"Calvin Harris, Dua Lipa - One Kiss (Official Video).mp3",123.046875,158217,1286.317073,0.444927131,0.305373667,0.093253076,0.514599491,0.272943995,0.074498425,0.26343358,0.118051186,0.013936082,7.412432392,69.5216827,4833.264366,-0.438584971,53.42525736,2854.258124,0.010285653,4.809560679,23.13187393,0.157667845,0.088295519,0.007796098,2246.59177,1397.153983,1952039.253,2373.017559,859.0238468,737921.9693,20.36409573,7.304753199,53.35941929,4602.405503,2908.499268,8459367.993,1.465431338,2.012309272,4.049388605,-0.000836942,0.065562413,0.00429843,0.097059315,0.102536929,0.010513822,0.00107696,0.130810603,0.017111413,0.001708188,0.102478556,0.010501854,3.244988662,1.552456283,2.410120511
24,"Calvin Harris, Sam Smith - Promises (Official Video).mp3",123.046875,154190,1284.916667,0.423652086,0.300031819,0.090019092,0.515216716,0.281325003,0.079143758,0.265130323,0.114189515,0.013039245,1.570174997,12.66750045,160.4655676,-7.065619119,42.23207363,1783.548043,0.011482369,3.030180603,9.18199449,0.070865676,0.051857766,0.002689228,3789.554354,1176.062676,1383123.418,3031.198723,401.8195929,161458.9853,18.66810793,6.219061119,38.67672121,7486.658896,1467.196986,2152666.997,0.79819783,1.194453847,1.426719993,-0.00532619,0.070993873,0.00504013,0.226223311,0.132706325,0.017610969,-2.10E-05,0.058873016,0.003466032,-0.000156595,0.049634784,0.002463612,2.187319728,0.971599041,0.944004697
25,Camila Cabello - Havana (Official Audio) ft. Young Thug.mp3,52.734375,63571,1271.42,0.333523963,0.300527072,0.090316521,0.443628852,0.283046726,0.080115449,0.245568175,0.151755082,0.023029605,10.19175353,75.59551455,5714.68182,-2.227804742,43.4985541,1892.124209,0.00759729,3.578660822,12.80681328,0.193393812,0.091144033,0.008307235,2032.625572,874.8430367,765350.3389,2293.160863,755.1317667,570223.9851,22.14401168,6.32954098,40.06308902,4392.98177,2148.486385,4615993.747,2.225968558,2.758889773,7.611472781,-0.011244547,0.090151524,0.008127297,0.084772919,0.044974641,0.002022718,-2.24E-05,0.175172508,0.030685406,-0.000392853,0.076000929,0.005776141,5.167600907,2.639052553,6.964598378
27,Carly Rae Jepsen - Call Me Maybe.mp3,117.4538352,152458,1292.016949,0.387175253,0.306560589,0.093979395,0.514390715,0.279506727,0.078124011,0.257831896,0.129830838,0.016856047,2.62942884,26.25179476,689.1567284,-2.117848119,52.78296225,2786.041104,0.014157751,3.777672514,14.27080962,0.094279237,0.056038108,0.003140269,2672.189889,1232.045778,1517936.799,2633.004652,638.6096649,407822.3042,20.43290567,6.089064224,37.07670313,5589.05787,2408.235157,5799596.572,0.998509927,1.370107096,1.877193455,0.01120514,0.057315994,0.003285123,0.111906353,0.090285326,0.00815144,5.33E-06,0.071974218,0.005180288,-0.000125322,0.059335887,0.003520747,2.702802721,1.437245794,2.065675472
28,Chali Chali - Baghban 1080p.mp3,92.28515625,118144,1284.173913,0.370326548,0.302729182,0.091644958,0.543346591,0.258929274,0.067044369,0.264442774,0.11577285,0.013403353,1.700890327,12.08493642,146.0456882,-2.746121882,46.67280256,2178.350499,0.017045401,3.142231344,9.873617821,0.081561603,0.039764896,0.001581247,2571.132586,1131.260232,1279749.712,2375.22521,757.0924823,573189.0267,19.66193237,7.183955457,51.60921601,5203.18937,2333.491461,5445182.401,1.078131074,1.389118493,1.929650187,0.001215854,0.056310602,0.003170884,0.137570786,0.080279166,0.006444745,-2.26E-05,0.058718309,0.00344784,-7.82E-05,0.047877304,0.002292236,6.582857143,3.06130688,9.371599812
